age_group,base_life_expectancy,smoking,exercise,diet,alcohol,sleep,stress,social_connections,lifestyle_impact,adjusted_life_expectancy,years_lost,years_gained,risk_score
55-59,24.6,current_light,moderate,poor,none,excellent,low,limited,-7.6,17.0,7.6,0.0,65.2
45-49,34.2,current_light,moderate,average,none,good,high,strong,-7.1000000000000005,27.1,7.1000000000000005,0.0,64.2
40-44,39.0,never,sedentary,average,heavy,average,minimal,moderate,-9.0,30.0,9.0,0.0,68.0
65-69,15.0,current_light,sedentary,average,moderate,good,high,limited,-16.2,0.0,16.2,0.0,82.4
40-44,39.0,former,vigorous,average,heavy,excellent,high,moderate,-8.2,30.8,8.2,0.0,66.4
50-54,29.4,former,vigorous,excellent,moderate,excellent,high,limited,-1.8000000000000003,27.599999999999998,1.8000000000000003,0.0,53.6
20-24,58.2,current_light,moderate,good,moderate,average,high,moderate,-10.7,47.5,10.7,0.0,71.4
55-59,24.6,current_light,vigorous,good,moderate,average,minimal,isolated,-5.9,18.700000000000003,5.9,0.0,61.8
25-29,53.4,current_heavy,moderate,average,none,good,low,strong,-7.099999999999999,46.3,7.099999999999999,0.0,64.2
30-34,48.6,never,vigorous,excellent,none,excellent,low,moderate,7.0,55.6,0.0,7.0,36.0
20-24,58.2,former,vigorous,average,light,good,minimal,moderate,0.4999999999999998,58.7,0.0,0.4999999999999998,49.0
65-69,15.0,former,moderate,poor,none,average,high,isolated,-12.3,2.6999999999999993,12.3,0.0,74.6
30-34,48.6,never,sedentary,good,none,excellent,high,strong,-3.499999999999999,45.1,3.499999999999999,0.0,57.0
65-69,15.0,never,moderate,average,moderate,poor,low,moderate,-4.4,10.6,4.4,0.0,58.8
30-34,48.6,never,light,poor,moderate,excellent,low,strong,-2.6000000000000005,46.0,2.6000000000000005,0.0,55.2
30-34,48.6,former,vigorous,average,light,good,moderate,isolated,-5.3,43.300000000000004,5.3,0.0,60.6
25-29,53.4,current_light,vigorous,good,heavy,good,low,isolated,-10.5,42.9,10.5,0.0,71.0
40-44,39.0,former,vigorous,good,moderate,excellent,minimal,limited,0.6999999999999997,39.7,0.0,0.6999999999999997,48.6
20-24,58.2,former,vigorous,good,heavy,excellent,high,strong,-4.8999999999999995,53.300000000000004,4.8999999999999995,0.0,59.8
55-59,24.6,never,light,poor,moderate,average,minimal,moderate,-5.2,19.400000000000002,5.2,0.0,60.4
30-34,48.6,current_light,light,good,light,excellent,minimal,isolated,-6.6,42.0,6.6,0.0,63.2
45-49,34.2,never,vigorous,poor,moderate,excellent,high,isolated,-7.000000000000001,27.200000000000003,7.000000000000001,0.0,64.0
30-34,48.6,current_heavy,vigorous,average,light,average,high,moderate,-11.8,36.8,11.8,0.0,73.6
25-29,53.4,never,sedentary,good,moderate,excellent,moderate,moderate,-5.1,48.3,5.1,0.0,60.2
60-64,19.8,never,moderate,average,moderate,poor,moderate,isolated,-8.4,11.4,8.4,0.0,66.8
35-39,43.8,current_light,vigorous,poor,none,average,low,isolated,-9.2,34.599999999999994,9.2,0.0,68.4
45-49,34.2,current_light,vigorous,excellent,heavy,average,low,limited,-6.800000000000001,27.400000000000002,6.800000000000001,0.0,63.6
65-69,15.0,former,light,poor,heavy,excellent,moderate,limited,-13.2,1.8000000000000007,13.2,0.0,76.4
20-24,58.2,never,light,excellent,moderate,poor,minimal,moderate,-0.5000000000000002,57.7,0.5000000000000002,0.0,51.0
55-59,24.6,never,sedentary,excellent,light,good,high,moderate,-4.8,19.8,4.8,0.0,59.6
50-54,29.4,never,vigorous,average,light,poor,moderate,moderate,-2.1000000000000005,27.299999999999997,2.1000000000000005,0.0,54.2
35-39,43.8,current_heavy,light,average,light,poor,low,isolated,-16.5,27.299999999999997,16.5,0.0,83.0
35-39,43.8,former,moderate,excellent,light,average,high,moderate,-4.0,39.8,4.0,0.0,58.0
45-49,34.2,never,light,good,heavy,average,high,limited,-11.999999999999998,22.200000000000003,11.999999999999998,0.0,74.0
50-54,29.4,former,light,good,light,excellent,minimal,strong,1.1000000000000003,30.5,0.0,1.1000000000000003,47.8
45-49,34.2,current_light,moderate,good,light,poor,moderate,strong,-6.3,27.900000000000002,6.3,0.0,62.6
60-64,19.8,never,sedentary,excellent,light,excellent,high,strong,-1.1999999999999997,18.6,1.1999999999999997,0.0,52.4
45-49,34.2,current_heavy,vigorous,excellent,heavy,average,moderate,moderate,-10.399999999999999,23.800000000000004,10.399999999999999,0.0,70.8
65-69,15.0,current_heavy,vigorous,poor,light,good,high,strong,-10.899999999999999,4.100000000000001,10.899999999999999,0.0,71.8
60-64,19.8,former,sedentary,average,none,excellent,high,isolated,-12.099999999999998,7.700000000000003,12.099999999999998,0.0,74.19999999999999
30-34,48.6,never,vigorous,excellent,none,excellent,low,isolated,4.2,52.800000000000004,0.0,4.2,41.6
45-49,34.2,current_light,light,good,light,good,low,moderate,-7.0,27.200000000000003,7.0,0.0,64.0
50-54,29.4,current_heavy,moderate,average,moderate,good,moderate,strong,-9.999999999999996,19.400000000000002,9.999999999999996,0.0,70.0
60-64,19.8,current_heavy,moderate,excellent,light,good,low,moderate,-5.8999999999999995,13.900000000000002,5.8999999999999995,0.0,61.8
20-24,58.2,current_light,moderate,excellent,moderate,average,moderate,limited,-6.700000000000001,51.5,6.700000000000001,0.0,63.400000000000006
60-64,19.8,former,light,excellent,heavy,good,low,moderate,-6.3,13.5,6.3,0.0,62.6
20-24,58.2,former,sedentary,poor,none,excellent,moderate,strong,-6.8999999999999995,51.300000000000004,6.8999999999999995,0.0,63.8
60-64,19.8,current_light,moderate,good,heavy,good,minimal,moderate,-8.2,11.600000000000001,8.2,0.0,66.4
40-44,39.0,never,light,good,light,average,minimal,limited,-1.9000000000000001,37.1,1.9000000000000001,0.0,53.8
60-64,19.8,never,moderate,poor,moderate,excellent,moderate,moderate,-4.2,15.600000000000001,4.2,0.0,58.4
55-59,24.6,current_heavy,moderate,good,heavy,poor,low,limited,-16.7,7.900000000000002,16.7,0.0,83.4
25-29,53.4,former,sedentary,excellent,light,good,moderate,moderate,-5.0,48.4,5.0,0.0,60.0
30-34,48.6,former,moderate,excellent,none,average,high,strong,-1.2999999999999998,47.300000000000004,1.2999999999999998,0.0,52.6
45-49,34.2,current_heavy,moderate,poor,moderate,good,minimal,strong,-9.099999999999998,25.100000000000005,9.099999999999998,0.0,68.19999999999999
40-44,39.0,never,light,good,none,excellent,low,strong,2.3,41.3,0.0,2.3,45.4
45-49,34.2,current_light,sedentary,good,light,excellent,high,limited,-12.5,21.700000000000003,12.5,0.0,75.0
45-49,34.2,current_heavy,sedentary,good,moderate,average,high,moderate,-18.299999999999997,15.900000000000006,18.299999999999997,0.0,86.6
20-24,58.2,current_light,sedentary,poor,heavy,excellent,minimal,strong,-11.899999999999999,46.300000000000004,11.899999999999999,0.0,73.8
50-54,29.4,current_light,light,excellent,light,poor,low,moderate,-6.300000000000001,23.099999999999998,6.300000000000001,0.0,62.6
45-49,34.2,current_heavy,moderate,average,light,excellent,moderate,moderate,-9.599999999999998,24.600000000000005,9.599999999999998,0.0,69.19999999999999
55-59,24.6,former,moderate,average,none,average,minimal,isolated,-4.9,19.700000000000003,4.9,0.0,59.8
65-69,15.0,former,light,average,none,average,minimal,moderate,-3.9000000000000004,11.1,3.9000000000000004,0.0,57.8
30-34,48.6,never,moderate,poor,heavy,excellent,high,isolated,-12.899999999999999,35.7,12.899999999999999,0.0,75.8
55-59,24.6,former,vigorous,average,moderate,good,low,limited,-3.6,21.0,3.6,0.0,57.2
40-44,39.0,never,moderate,excellent,moderate,excellent,minimal,isolated,2.0,41.0,0.0,2.0,46.0
35-39,43.8,never,vigorous,poor,none,average,moderate,strong,-0.20000000000000018,43.599999999999994,0.20000000000000018,0.0,50.4
35-39,43.8,current_light,light,good,moderate,poor,low,limited,-11.399999999999999,32.4,11.399999999999999,0.0,72.8
45-49,34.2,never,vigorous,poor,moderate,excellent,low,strong,1.4999999999999996,35.7,0.0,1.4999999999999996,47.0
40-44,39.0,current_heavy,vigorous,good,heavy,good,minimal,isolated,-12.2,26.8,12.2,0.0,74.4
40-44,39.0,current_heavy,moderate,poor,moderate,average,high,limited,-18.5,20.5,18.5,0.0,87.0
55-59,24.6,never,vigorous,poor,moderate,excellent,high,isolated,-7.000000000000001,17.6,7.000000000000001,0.0,64.0
45-49,34.2,current_light,sedentary,average,light,poor,low,strong,-10.3,23.900000000000002,10.3,0.0,70.6
55-59,24.6,current_light,vigorous,average,heavy,poor,minimal,limited,-10.2,14.400000000000002,10.2,0.0,70.4
30-34,48.6,never,vigorous,good,light,excellent,minimal,limited,4.4,53.0,0.0,4.4,41.2
65-69,15.0,never,vigorous,poor,moderate,average,low,moderate,-2.9000000000000004,12.1,2.9000000000000004,0.0,55.8
40-44,39.0,never,light,poor,light,average,moderate,isolated,-9.8,29.2,9.8,0.0,69.6
30-34,48.6,current_heavy,light,excellent,light,poor,low,isolated,-12.600000000000001,36.0,12.600000000000001,0.0,75.2
55-59,24.6,current_light,sedentary,good,moderate,excellent,low,isolated,-11.899999999999999,12.700000000000003,11.899999999999999,0.0,73.8
30-34,48.6,former,moderate,poor,heavy,good,minimal,strong,-6.499999999999999,42.1,6.499999999999999,0.0,63.0
20-24,58.2,current_light,vigorous,good,moderate,poor,low,moderate,-6.200000000000001,52.0,6.200000000000001,0.0,62.400000000000006
45-49,34.2,former,vigorous,poor,heavy,good,low,limited,-9.299999999999999,24.900000000000006,9.299999999999999,0.0,68.6
35-39,43.8,former,moderate,average,heavy,excellent,high,isolated,-13.3,30.499999999999996,13.3,0.0,76.6
40-44,39.0,current_light,sedentary,good,none,good,low,limited,-9.9,29.1,9.9,0.0,69.8
25-29,53.4,current_heavy,sedentary,excellent,none,good,minimal,moderate,-7.7,45.699999999999996,7.7,0.0,65.4
50-54,29.4,never,moderate,average,heavy,good,minimal,limited,-5.200000000000001,24.199999999999996,5.200000000000001,0.0,60.400000000000006
35-39,43.8,never,moderate,average,none,good,high,limited,-5.199999999999999,38.599999999999994,5.199999999999999,0.0,60.4
35-39,43.8,current_heavy,sedentary,excellent,moderate,average,minimal,isolated,-13.0,30.799999999999997,13.0,0.0,76.0
30-34,48.6,never,vigorous,poor,moderate,average,high,isolated,-9.2,39.400000000000006,9.2,0.0,68.4
50-54,29.4,current_light,vigorous,average,moderate,poor,moderate,strong,-6.3,23.099999999999998,6.3,0.0,62.6
35-39,43.8,current_heavy,sedentary,excellent,light,good,minimal,strong,-5.999999999999999,37.8,5.999999999999999,0.0,62.0
45-49,34.2,current_heavy,moderate,poor,light,good,low,strong,-9.7,24.500000000000004,9.7,0.0,69.4
45-49,34.2,current_light,moderate,excellent,heavy,poor,minimal,moderate,-7.500000000000001,26.700000000000003,7.500000000000001,0.0,65.0
40-44,39.0,current_heavy,vigorous,average,none,average,low,isolated,-10.6,28.4,10.6,0.0,71.2
55-59,24.6,current_heavy,moderate,excellent,none,poor,moderate,isolated,-11.5,13.100000000000001,11.5,0.0,73.0
50-54,29.4,former,sedentary,excellent,moderate,excellent,high,moderate,-7.1,22.299999999999997,7.1,0.0,64.2
55-59,24.6,current_heavy,sedentary,good,none,average,moderate,isolated,-17.099999999999998,7.5000000000000036,17.099999999999998,0.0,84.19999999999999
50-54,29.4,current_light,light,excellent,heavy,poor,moderate,limited,-13.399999999999999,16.0,13.399999999999999,0.0,76.8
20-24,58.2,current_light,vigorous,average,none,excellent,minimal,limited,-1.4000000000000001,56.800000000000004,1.4000000000000001,0.0,52.8
40-44,39.0,former,light,average,light,average,minimal,isolated,-7.2,31.8,7.2,0.0,64.4
60-64,19.8,current_heavy,vigorous,good,none,excellent,minimal,limited,-3.8000000000000003,16.0,3.8000000000000003,0.0,57.6
55-59,24.6,current_light,moderate,poor,light,good,moderate,isolated,-12.399999999999999,12.200000000000003,12.399999999999999,0.0,74.8
55-59,24.6,current_heavy,vigorous,average,light,excellent,moderate,strong,-5.1,19.5,5.1,0.0,60.2
65-69,15.0,former,light,good,none,good,low,limited,-4.9,10.1,4.9,0.0,59.8
25-29,53.4,current_heavy,light,excellent,heavy,poor,minimal,limited,-13.899999999999999,39.5,13.899999999999999,0.0,77.8
30-34,48.6,never,vigorous,poor,heavy,excellent,high,strong,-5.6000000000000005,43.0,5.6000000000000005,0.0,61.2
45-49,34.2,former,moderate,good,light,good,low,limited,-3.6,30.6,3.6,0.0,57.2
55-59,24.6,current_light,vigorous,poor,light,good,high,limited,-10.700000000000001,13.9,10.700000000000001,0.0,71.4
40-44,39.0,current_heavy,vigorous,excellent,moderate,excellent,high,moderate,-6.9,32.1,6.9,0.0,63.8
20-24,58.2,former,moderate,excellent,heavy,poor,minimal,limited,-5.9,52.300000000000004,5.9,0.0,61.8
55-59,24.6,never,vigorous,good,heavy,poor,high,moderate,-8.1,16.5,8.1,0.0,66.2
35-39,43.8,never,sedentary,poor,light,good,high,isolated,-13.600000000000001,30.199999999999996,13.600000000000001,0.0,77.2
55-59,24.6,former,vigorous,average,none,excellent,moderate,strong,1.5999999999999999,26.200000000000003,0.0,1.5999999999999999,46.8
35-39,43.8,current_heavy,vigorous,poor,moderate,average,minimal,isolated,-12.599999999999998,31.2,12.599999999999998,0.0,75.19999999999999
40-44,39.0,current_heavy,light,average,moderate,poor,moderate,moderate,-16.099999999999998,22.900000000000002,16.099999999999998,0.0,82.19999999999999
55-59,24.6,current_light,moderate,average,moderate,excellent,moderate,moderate,-7.300000000000002,17.3,7.300000000000002,0.0,64.60000000000001
20-24,58.2,never,sedentary,good,none,poor,moderate,isolated,-9.7,48.5,9.7,0.0,69.4
65-69,15.0,former,moderate,excellent,light,poor,minimal,limited,-1.1000000000000003,13.9,1.1000000000000003,0.0,52.2
65-69,15.0,former,moderate,good,none,average,minimal,isolated,-3.8,11.2,3.8,0.0,57.6
65-69,15.0,current_heavy,vigorous,good,light,average,minimal,strong,-3.1999999999999993,11.8,3.1999999999999993,0.0,56.4
20-24,58.2,current_heavy,light,excellent,none,poor,moderate,limited,-11.6,46.6,11.6,0.0,73.2
45-49,34.2,former,vigorous,good,none,excellent,high,strong,0.3999999999999999,34.6,0.0,0.3999999999999999,49.2
55-59,24.6,never,vigorous,excellent,light,poor,low,limited,1.8999999999999995,26.5,0.0,1.8999999999999995,46.2
40-44,39.0,never,light,good,moderate,poor,high,moderate,-8.6,30.4,8.6,0.0,67.2
45-49,34.2,never,sedentary,poor,moderate,average,minimal,isolated,-10.3,23.900000000000002,10.3,0.0,70.6
20-24,58.2,never,light,excellent,moderate,poor,low,limited,-3.4000000000000004,54.800000000000004,3.4000000000000004,0.0,56.8
30-34,48.6,never,vigorous,poor,moderate,average,moderate,moderate,-4.1000000000000005,44.5,4.1000000000000005,0.0,58.2
65-69,15.0,never,sedentary,average,heavy,good,moderate,moderate,-11.2,3.8000000000000007,11.2,0.0,72.4
35-39,43.8,current_light,light,excellent,heavy,good,low,limited,-10.1,33.699999999999996,10.1,0.0,70.2
65-69,15.0,current_light,light,poor,none,excellent,low,isolated,-11.099999999999998,3.900000000000002,11.099999999999998,0.0,72.19999999999999
20-24,58.2,never,light,poor,none,poor,high,strong,-7.8999999999999995,50.300000000000004,7.8999999999999995,0.0,65.8
45-49,34.2,former,moderate,excellent,moderate,good,moderate,moderate,-2.1,32.1,2.1,0.0,54.2
55-59,24.6,current_heavy,moderate,poor,moderate,poor,high,strong,-16.499999999999996,8.100000000000005,16.499999999999996,0.0,83.0
25-29,53.4,never,light,poor,moderate,excellent,low,moderate,-4.800000000000001,48.599999999999994,4.800000000000001,0.0,59.6
50-54,29.4,current_heavy,vigorous,good,light,excellent,moderate,isolated,-9.0,20.4,9.0,0.0,68.0
25-29,53.4,current_light,vigorous,average,none,excellent,minimal,moderate,-0.30000000000000004,53.1,0.30000000000000004,0.0,50.6
20-24,58.2,never,moderate,average,heavy,good,moderate,isolated,-9.9,48.300000000000004,9.9,0.0,69.8
60-64,19.8,former,sedentary,poor,moderate,average,low,moderate,-11.8,8.0,11.8,0.0,73.6
25-29,53.4,current_heavy,vigorous,excellent,heavy,good,high,moderate,-11.899999999999999,41.5,11.899999999999999,0.0,73.8
55-59,24.6,never,moderate,average,none,poor,low,isolated,-5.5,19.1,5.5,0.0,61.0
50-54,29.4,former,sedentary,excellent,moderate,good,minimal,moderate,-3.2,26.2,3.2,0.0,56.4
30-34,48.6,current_light,vigorous,average,light,excellent,high,strong,-3.8999999999999995,44.7,3.8999999999999995,0.0,57.8
30-34,48.6,current_heavy,light,poor,light,excellent,low,isolated,-15.099999999999998,33.5,15.099999999999998,0.0,80.19999999999999
30-34,48.6,former,vigorous,excellent,none,excellent,moderate,limited,2.1999999999999997,50.800000000000004,0.0,2.1999999999999997,45.6
40-44,39.0,current_heavy,sedentary,excellent,light,poor,minimal,strong,-8.099999999999998,30.900000000000002,8.099999999999998,0.0,66.19999999999999
45-49,34.2,never,vigorous,poor,moderate,good,moderate,moderate,-3.3000000000000007,30.900000000000002,3.3000000000000007,0.0,56.6
55-59,24.6,former,moderate,average,none,average,moderate,limited,-6.200000000000001,18.4,6.200000000000001,0.0,62.400000000000006
20-24,58.2,never,vigorous,average,heavy,poor,high,limited,-10.299999999999999,47.900000000000006,10.299999999999999,0.0,70.6
35-39,43.8,current_heavy,light,good,heavy,good,moderate,moderate,-16.5,27.299999999999997,16.5,0.0,83.0
45-49,34.2,current_light,sedentary,excellent,none,average,moderate,isolated,-10.8,23.400000000000002,10.8,0.0,71.6
45-49,34.2,current_light,light,excellent,moderate,average,low,limited,-7.300000000000001,26.900000000000002,7.300000000000001,0.0,64.6
55-59,24.6,former,vigorous,poor,light,poor,minimal,strong,-1.5,23.1,1.5,0.0,53.0
35-39,43.8,current_light,vigorous,good,heavy,average,low,strong,-6.3,37.5,6.3,0.0,62.6
50-54,29.4,former,light,poor,moderate,poor,low,moderate,-10.799999999999999,18.6,10.799999999999999,0.0,71.6
50-54,29.4,never,sedentary,good,moderate,good,low,moderate,-5.3,24.099999999999998,5.3,0.0,60.6
25-29,53.4,current_light,sedentary,excellent,moderate,average,moderate,strong,-7.500000000000001,45.9,7.500000000000001,0.0,65.0
45-49,34.2,never,vigorous,poor,light,excellent,minimal,strong,4.5,38.7,0.0,4.5,41.0
35-39,43.8,never,vigorous,excellent,light,good,low,limited,3.9999999999999996,47.8,0.0,3.9999999999999996,42.0
45-49,34.2,never,vigorous,poor,none,excellent,minimal,isolated,0.0,34.2,0.0,0.0,50.0
60-64,19.8,current_heavy,sedentary,average,none,poor,minimal,limited,-14.799999999999997,5.0000000000000036,14.799999999999997,0.0,79.6
50-54,29.4,never,sedentary,excellent,moderate,good,minimal,strong,1.5000000000000002,30.9,0.0,1.5000000000000002,47.0
30-34,48.6,current_light,vigorous,poor,none,good,moderate,moderate,-6.800000000000001,41.8,6.800000000000001,0.0,63.6
40-44,39.0,current_light,vigorous,average,light,excellent,minimal,limited,-1.9000000000000001,37.1,1.9000000000000001,0.0,53.8
20-24,58.2,current_heavy,vigorous,excellent,light,excellent,minimal,moderate,-0.3999999999999997,57.800000000000004,0.3999999999999997,0.0,50.8
40-44,39.0,never,vigorous,excellent,light,excellent,low,limited,5.4,44.4,0.0,5.4,39.2
40-44,39.0,former,light,excellent,heavy,average,low,moderate,-7.1,31.9,7.1,0.0,64.2
40-44,39.0,current_light,moderate,average,none,good,low,isolated,-8.600000000000001,30.4,8.600000000000001,0.0,67.2
50-54,29.4,former,moderate,poor,none,good,low,strong,-3.0,26.4,3.0,0.0,56.0
30-34,48.6,former,vigorous,average,moderate,poor,low,strong,-2.3999999999999995,46.2,2.3999999999999995,0.0,54.8
45-49,34.2,former,light,good,heavy,average,low,moderate,-9.9,24.300000000000004,9.9,0.0,69.8
65-69,15.0,former,light,good,heavy,excellent,minimal,moderate,-5.8999999999999995,9.100000000000001,5.8999999999999995,0.0,61.8
40-44,39.0,current_heavy,sedentary,excellent,light,average,moderate,limited,-13.1,25.9,13.1,0.0,76.2
60-64,19.8,current_heavy,sedentary,good,none,good,minimal,isolated,-13.299999999999997,6.5000000000000036,13.299999999999997,0.0,76.6
25-29,53.4,current_heavy,moderate,poor,light,average,low,limited,-13.799999999999999,39.6,13.799999999999999,0.0,77.6
50-54,29.4,former,light,excellent,heavy,average,low,limited,-8.2,21.2,8.2,0.0,66.4
60-64,19.8,former,moderate,poor,heavy,excellent,moderate,isolated,-13.099999999999998,6.700000000000003,13.099999999999998,0.0,76.19999999999999
25-29,53.4,current_light,light,average,none,poor,high,moderate,-13.2,40.2,13.2,0.0,76.4
30-34,48.6,current_heavy,sedentary,average,heavy,average,minimal,limited,-18.8,29.8,18.8,0.0,87.6
40-44,39.0,current_light,vigorous,good,heavy,excellent,low,limited,-7.4,31.6,7.4,0.0,64.8
50-54,29.4,current_heavy,sedentary,excellent,none,poor,minimal,limited,-10.899999999999999,18.5,10.899999999999999,0.0,71.8
60-64,19.8,never,moderate,average,light,average,minimal,limited,-1.2000000000000002,18.6,1.2000000000000002,0.0,52.4
65-69,15.0,former,sedentary,poor,none,poor,low,moderate,-11.4,3.5999999999999996,11.4,0.0,72.8
55-59,24.6,never,moderate,excellent,heavy,poor,moderate,strong,-3.0999999999999996,21.5,3.0999999999999996,0.0,56.2
35-39,43.8,former,sedentary,good,moderate,excellent,minimal,moderate,-4.6000000000000005,39.199999999999996,4.6000000000000005,0.0,59.2
50-54,29.4,never,moderate,poor,moderate,good,high,moderate,-7.9,21.5,7.9,0.0,65.8
45-49,34.2,current_heavy,moderate,average,light,excellent,low,strong,-6.199999999999998,28.000000000000004,6.199999999999998,0.0,62.4
65-69,15.0,current_heavy,light,poor,none,poor,high,isolated,-21.599999999999998,0.0,21.599999999999998,0.0,93.19999999999999
40-44,39.0,never,light,average,heavy,excellent,minimal,isolated,-7.300000000000001,31.7,7.300000000000001,0.0,64.6
60-64,19.8,current_light,sedentary,poor,light,excellent,low,strong,-8.899999999999999,10.900000000000002,8.899999999999999,0.0,67.8
65-69,15.0,never,sedentary,excellent,heavy,excellent,low,strong,-2.499999999999999,12.5,2.499999999999999,0.0,55.0
25-29,53.4,current_heavy,vigorous,poor,moderate,good,high,isolated,-17.099999999999998,36.3,17.099999999999998,0.0,84.19999999999999
30-34,48.6,current_light,light,good,light,excellent,high,strong,-6.8999999999999995,41.7,6.8999999999999995,0.0,63.8
60-64,19.8,former,moderate,poor,heavy,average,low,strong,-9.100000000000001,10.7,9.100000000000001,0.0,68.2
50-54,29.4,never,light,excellent,moderate,average,low,isolated,-3.8,25.599999999999998,3.8,0.0,57.6
30-34,48.6,former,sedentary,excellent,moderate,good,low,isolated,-7.8,40.800000000000004,7.8,0.0,65.6
35-39,43.8,current_light,vigorous,poor,none,poor,moderate,strong,-6.7,37.099999999999994,6.7,0.0,63.4
30-34,48.6,current_light,moderate,good,light,average,minimal,strong,-2.0,46.6,2.0,0.0,54.0
65-69,15.0,current_light,moderate,excellent,light,good,minimal,isolated,-3.4000000000000004,11.6,3.4000000000000004,0.0,56.8
45-49,34.2,never,vigorous,poor,heavy,average,moderate,strong,-5.5,28.700000000000003,5.5,0.0,61.0
35-39,43.8,never,vigorous,excellent,light,excellent,low,strong,8.7,52.5,0.0,8.7,32.6
25-29,53.4,former,vigorous,poor,none,average,high,isolated,-10.0,43.4,10.0,0.0,70.0
55-59,24.6,current_heavy,moderate,good,none,good,moderate,limited,-10.499999999999998,14.100000000000003,10.499999999999998,0.0,71.0
45-49,34.2,former,vigorous,average,none,excellent,moderate,limited,-1.7000000000000004,32.5,1.7000000000000004,0.0,53.4
35-39,43.8,former,vigorous,poor,moderate,excellent,high,isolated,-9.5,34.3,9.5,0.0,69.0
55-59,24.6,never,vigorous,poor,none,excellent,moderate,strong,1.9999999999999998,26.6,0.0,1.9999999999999998,46.0
35-39,43.8,current_heavy,light,average,heavy,good,minimal,isolated,-17.4,26.4,17.4,0.0,84.8
65-69,15.0,current_heavy,vigorous,poor,heavy,average,minimal,moderate,-13.399999999999999,1.6000000000000014,13.399999999999999,0.0,76.8
20-24,58.2,former,sedentary,average,light,average,minimal,isolated,-9.5,48.7,9.5,0.0,69.0
25-29,53.4,current_light,light,good,none,good,high,isolated,-12.8,40.599999999999994,12.8,0.0,75.6
65-69,15.0,current_heavy,moderate,excellent,light,average,high,isolated,-13.0,2.0,13.0,0.0,76.0
40-44,39.0,former,sedentary,good,light,poor,high,limited,-13.299999999999999,25.700000000000003,13.299999999999999,0.0,76.6
30-34,48.6,never,light,poor,none,average,low,isolated,-8.1,40.5,8.1,0.0,66.2
35-39,43.8,current_light,light,average,light,excellent,moderate,strong,-5.699999999999999,38.099999999999994,5.699999999999999,0.0,61.4
65-69,15.0,current_light,light,good,moderate,excellent,minimal,moderate,-4.999999999999999,10.0,4.999999999999999,0.0,60.0
25-29,53.4,former,light,excellent,light,excellent,high,strong,-1.4,52.0,1.4,0.0,52.8
25-29,53.4,former,light,average,moderate,excellent,moderate,limited,-7.500000000000002,45.9,7.500000000000002,0.0,65.0
55-59,24.6,current_light,moderate,poor,moderate,good,low,isolated,-12.399999999999999,12.200000000000003,12.399999999999999,0.0,74.8
65-69,15.0,former,light,average,none,excellent,high,strong,-4.8,10.2,4.8,0.0,59.6
50-54,29.4,current_heavy,vigorous,average,moderate,excellent,low,isolated,-10.099999999999998,19.3,10.099999999999998,0.0,70.19999999999999
55-59,24.6,never,moderate,excellent,heavy,excellent,high,limited,-5.199999999999999,19.400000000000002,5.199999999999999,0.0,60.4
40-44,39.0,never,moderate,good,heavy,average,minimal,isolated,-6.6,32.4,6.6,0.0,63.2
25-29,53.4,current_heavy,sedentary,average,none,excellent,minimal,moderate,-10.199999999999998,43.2,10.199999999999998,0.0,70.39999999999999
60-64,19.8,current_heavy,moderate,average,light,good,high,isolated,-16.099999999999998,3.700000000000003,16.099999999999998,0.0,82.19999999999999
60-64,19.8,current_light,light,average,moderate,excellent,moderate,limited,-10.199999999999998,9.600000000000003,10.199999999999998,0.0,70.39999999999999
55-59,24.6,current_heavy,vigorous,excellent,moderate,good,moderate,strong,-3.8,20.8,3.8,0.0,57.6
20-24,58.2,current_light,light,good,moderate,excellent,moderate,strong,-5.799999999999999,52.400000000000006,5.799999999999999,0.0,61.599999999999994
20-24,58.2,former,moderate,good,light,excellent,moderate,limited,-3.4,54.800000000000004,3.4,0.0,56.8
60-64,19.8,current_heavy,sedentary,poor,none,poor,moderate,strong,-16.6,3.1999999999999993,16.6,0.0,83.2
60-64,19.8,current_light,light,good,moderate,good,high,moderate,-11.7,8.100000000000001,11.7,0.0,73.4
30-34,48.6,current_light,vigorous,average,heavy,poor,high,limited,-15.5,33.1,15.5,0.0,81.0
65-69,15.0,never,sedentary,average,moderate,good,high,isolated,-12.7,2.3000000000000007,12.7,0.0,75.4
45-49,34.2,former,light,excellent,heavy,good,moderate,isolated,-10.3,23.900000000000002,10.3,0.0,70.6
25-29,53.4,former,moderate,good,moderate,average,low,isolated,-7.3,46.1,7.3,0.0,64.6
55-59,24.6,current_heavy,moderate,good,none,good,high,limited,-12.799999999999999,11.800000000000002,12.799999999999999,0.0,75.6
60-64,19.8,former,vigorous,average,moderate,excellent,minimal,strong,2.9000000000000004,22.700000000000003,0.0,2.9000000000000004,44.2
30-34,48.6,current_light,vigorous,poor,moderate,average,minimal,moderate,-6.300000000000002,42.3,6.300000000000002,0.0,62.6
35-39,43.8,never,sedentary,average,light,average,high,moderate,-9.5,34.3,9.5,0.0,69.0
65-69,15.0,current_light,moderate,average,moderate,excellent,minimal,limited,-5.400000000000002,9.599999999999998,5.400000000000002,0.0,60.800000000000004
35-39,43.8,never,moderate,poor,light,average,low,strong,-1.7999999999999998,42.0,1.7999999999999998,0.0,53.6
50-54,29.4,never,vigorous,excellent,none,excellent,moderate,strong,8.0,37.4,0.0,8.0,34.0
